target_id,callsign,timestamp,timestamp_source,time_source,message_seq,lat,lon,altitude,alt_type,speed,heading,vertical_rate,on_ground,status_flags,validity_flags,latitude_code,longitude_code,altitude_code,speed_code,heading_code,vertical_rate_code,lat_valid,lon_valid,altitude_valid,speed_valid,heading_valid,vertical_rate_valid,callsign_valid,checksum,expected_checksum,message_valid,validation_errors,source
4b5d6e,VIKTOR31,1786673139,position_time,position_time,10,47.44088588735721,8.561913624266055,,unknown,2.8000000000000003,22.5,,True,1,91,3202604,2196905,0,28,2250,0,True,True,False,True,True,False,True,2634,2634,True,,opensky_real
4b5c39,GALA21,1786673149,position_time,position_time,11,47.45800911379078,8.550583970685949,,unknown,4.6000000000000005,278.44,,True,1,91,3203003,2196773,0,46,27844,0,True,True,False,True,True,False,True,2512,2512,True,,opensky_real
4b5c1b,URSULA8,1786673153,position_time,position_time,12,47.45680748386562,8.562771931355456,,unknown,0.30000000000000004,300.94,,True,1,91,3202975,2196915,0,3,30094,0,True,True,False,True,True,False,True,2414,2414,True,,opensky_real
48ea3a,ENT1511,1786673155,position_time,position_time,13,47.90681789083908,8.087698957371487,10973.0,barometric,229.5,225.45000000000002,0.0,False,0,127,3213461,2191380,11973,2295,22545,32768,True,True,True,True,True,True,True,2586,2586,True,,opensky_real
424cbf,MACOR,1786673154,position_time,position_time,14,46.89907953717221,11.250388920399871,9883.0,barometric,244.3,222.87,-8.129999999999995,False,0,127,3189979,2228228,10883,2443,22287,31955,True,True,True,True,True,True,True,2627,2627,True,,opensky_real
a61c53,THY6091,1786673154,position_time,position_time,15,49.38168987791295,10.834367474166726,10363.0,barometric,243.20000000000002,288.63,0.0,False,0,127,3247828,2223381,11363,2432,28863,32768,True,True,True,True,True,True,True,2825,2825,True,,opensky_real
8966d5,ETD2,1786673154,position_time,position_time,16,47.892183754964776,7.5862759557428205,11278.0,barometric,259.3,104.01,0.0,False,0,127,3213120,2185538,12278,2593,10401,32768,True,True,True,True,True,True,True,2387,2387,True,,opensky_real
4d253b,EWG40C,1786673154,position_time,position_time,17,46.552709711244034,5.793186615273129,11278.0,barometric,224.70000000000002,200.51,0.0,False,0,127,3181908,2164647,12278,2247,20051,32768,True,True,True,True,True,True,True,2528,2528,True,,opensky_real
45b534,GAV596,1786673153,position_time,position_time,18,48.71808975174184,9.474036568173517,11582.0,barometric,222.9,302.37,0.0,False,0,127,3232365,2207532,12582,2229,30237,32768,True,True,True,True,True,True,True,2423,2423,True,,opensky_real
4d240c,EWG53L,1786673153,position_time,position_time,19,49.24401742077288,10.634725245171836,5189.0,barometric,186.5,248.81,10.079999999999984,False,0,127,3244620,2221055,6189,1865,24881,33776,True,True,True,True,True,True,True,2661,2661,True,,opensky_real
ad35c8,N950MP,1786673154,position_time,position_time,20,45.95060728802855,11.278112239387553,13716.0,barometric,255.5,118.11,0.0,False,0,127,3167878,2228551,14716,2555,11811,32768,True,True,True,True,True,True,True,2538,2538,True,,opensky_real
3889ff,LA2,1786673155,position_time,position_time,21,45.71740525183802,5.091692231104901,,unknown,5.7,171.56,,True,1,91,3162444,2156474,0,57,17156,0,True,True,False,True,True,False,True,2067,2067,True,,opensky_real
4b17fd,SWR7DC,1786673098,position_time,position_time,22,47.44431911571482,8.567406789638227,,unknown,0.30000000000000004,244.69,,True,1,91,3202684,2196969,0,3,24469,0,True,True,False,True,True,False,True,2694,2694,True,,opensky_real
a48850,UPS266,1786673159,position_time,position_time,23,48.381118388442616,9.481761331978134,11887.0,barometric,241.8,152.78,0.0,False,0,127,3224513,2207622,12887,2418,15278,32768,True,True,True,True,True,True,True,2745,2745,True,,opensky_real
896175,UAE4M,1786673159,position_time,position_time,24,45.539606938268406,5.061565652266893,10973.0,barometric,255.70000000000002,110.0,0.0,False,0,127,3158301,2156123,11973,2557,11000,32768,True,True,True,True,True,True,True,2805,2805,True,,opensky_real
3849ff,M02,1786673159,position_time,position_time,25,47.58709850003683,7.5311726406032165,,unknown,18.5,334.69,,True,1,91,3206011,2184896,0,185,33469,0,True,True,False,True,True,False,True,2450,2450,True,,opensky_real
407fac,TOM8VC,1786673158,position_time,position_time,26,48.92069314019517,9.028575188773914,11582.0,barometric,228.4,300.90000000000003,0.0,False,0,127,3237086,2202342,12582,2284,30090,32768,True,True,True,True,True,True,True,3019,3019,True,,opensky_real
3c815e,F172,1786673142,position_time,position_time,27,48.6853882516356,9.200494098781121,,unknown,1.3,70.31,,True,1,91,3231603,2204345,0,13,7031,0,True,True,False,True,True,False,True,2199,2199,True,,opensky_real
7c8066,QFA219,1786673159,position_time,position_time,28,49.39289078542964,11.617229370410314,12184.0,barometric,244.20000000000002,293.59000000000003,0.0,False,0,127,3248089,2232502,13184,2442,29359,32768,True,True,True,True,True,True,True,2818,2818,True,,opensky_real
45ce47,SRR6382,1786673160,position_time,position_time,29,48.54720081024189,6.299072813766685,11887.0,barometric,233.60000000000002,181.51,0.0,False,0,127,3228383,2170541,12887,2336,18151,32768,True,True,True,True,True,True,True,2695,2695,True,,opensky_real
3c5434,BCS6GA,1786673159,position_time,position_time,30,45.747617661384965,8.776662058034418,3399.0,barometric,176.5,148.95000000000002,-6.5,False,0,127,3163148,2199407,4399,1765,14895,32118,True,True,True,True,True,True,True,2374,2374,True,,opensky_real
4b5d62,VIKTOR21,1786673156,position_time,position_time,31,47.45770870630949,8.562514439228636,,unknown,2.8000000000000003,272.81,,True,1,91,3202996,2196912,0,28,27281,0,True,True,False,True,True,False,True,2589,2589,True,,opensky_real
4b5d54,GALA6,1786673159,position_time,position_time,32,47.45809494449972,8.549897325014427,,unknown,4.1000000000000005,275.62,,True,1,91,3203005,2196765,0,41,27562,0,True,True,False,True,True,False,True,2233,2233,True,,opensky_real
4b5d6e,VIKTOR31,1786673158,position_time,position_time,33,47.44101463342062,8.562428608519696,,unknown,2.8000000000000003,154.69,,True,1,91,3202607,2196911,0,28,15469,0,True,True,False,True,True,False,True,2389,2389,True,,opensky_real
4b5c39,GALA21,1786673156,position_time,position_time,34,47.45800911379078,8.550240647850188,,unknown,4.4,275.62,,True,1,91,3203003,2196769,0,44,27562,0,True,True,False,True,True,False,True,2254,2254,True,,opensky_real
4b5c1b,URSULA8,1786673154,position_time,position_time,35,47.45680748386562,8.562771931355456,,unknown,0.1,208.12,,True,1,91,3202975,2196915,0,1,20812,0,True,True,False,True,True,False,True,2334,2334,True,,opensky_real
440b61,TAY5DN,1786673159,position_time,position_time,36,49.46009623052984,5.006633998545169,10874.0,barometric,232.5,35.910000000000004,5.529999999999973,False,0,127,3249655,2155483,11874,2325,3591,33321,True,True,True,True,True,True,True,2618,2618,True,,opensky_real
48ea3a,ENT1511,1786673159,position_time,position_time,37,47.900208926250684,8.077570933716487,10973.0,barometric,229.5,225.45000000000002,0.0,False,0,127,3213307,2191262,11973,2295,22545,32768,True,True,True,True,True,True,True,2852,2852,True,,opensky_real
424cbf,MACOR,1786673159,position_time,position_time,38,46.891698096203356,11.240432558162809,9845.0,barometric,244.60000000000002,222.78,-8.779999999999973,False,0,127,3189807,2228112,10845,2446,22278,31890,True,True,True,True,True,True,True,2769,2769,True,,opensky_real
a61c53,THY6091,1786673158,position_time,position_time,39,49.384994360207145,10.819604592229012,10363.0,barometric,243.10000000000002,288.51,0.0,False,0,127,3247905,2223209,11363,2431,28851,32768,True,True,True,True,True,True,True,2745,2745,True,,opensky_real
8966d5,ETD2,1786673159,position_time,position_time,40,47.88917968015187,7.604386235329201,11278.0,barometric,259.8,103.98,0.0,False,0,127,3213050,2185749,12278,2598,10398,32768,True,True,True,True,True,True,True,2559,2559,True,,opensky_real
4d253b,EWG40C,1786673159,position_time,position_time,41,46.54309667184273,5.788465926281418,11278.0,barometric,225.3,198.23000000000002,0.0,False,0,127,3181684,2164592,12278,2253,19823,32768,True,True,True,True,True,True,True,2566,2566,True,,opensky_real
45b534,GAV596,1786673158,position_time,position_time,42,48.723497086405075,9.461076131123548,11582.0,barometric,222.9,302.37,-0.3299999999999841,False,0,127,3232491,2207381,12582,2229,30237,32735,True,True,True,True,True,True,True,2904,2904,True,,opensky_real
4d240c,EWG53L,1786673159,position_time,position_time,43,49.24071293847868,10.621764808121867,5243.0,barometric,192.0,248.8,9.430000000000007,False,0,127,3244543,2220904,6243,1920,24880,33711,True,True,True,True,True,True,True,2761,2761,True,,opensky_real
ad35c8,N950MP,1786673159,position_time,position_time,44,45.94481371517509,11.293733428414669,13716.0,barometric,255.70000000000002,118.21000000000001,0.0,False,0,127,3167743,2228733,14716,2557,11821,32768,True,True,True,True,True,True,True,2881,2881,True,,opensky_real
3889ff,LA2,1786673159,position_time,position_time,45,45.717190675065666,5.091778061813841,,unknown,7.2,168.75,,True,1,91,3162439,2156475,0,72,16875,0,True,True,False,True,True,False,True,2335,2335,True,,opensky_real
4b17fd,SWR7DC,1786673098,position_time,position_time,46,47.44431911571482,8.567406789638227,,unknown,0.1,244.69,,True,1,91,3202684,2196969,0,1,24469,0,True,True,False,True,True,False,True,2716,2716,True,,opensky_real
a48850,UPS266,1786673173,position_time,position_time,47,48.353695476936224,9.502875686377479,11895.0,barometric,241.8,152.78,0.0,False,0,127,3223874,2207868,12895,2418,15278,32768,True,True,True,True,True,True,True,2653,2653,True,,opensky_real
896175,UAE4M,1786673173,position_time,position_time,48,45.528706438233,5.103966022483348,10973.0,barometric,255.70000000000002,110.0,0.0,False,0,127,3158047,2156617,11973,2557,11000,32768,True,True,True,True,True,True,True,2828,2828,True,,opensky_real
3849ff,M02,1786673173,position_time,position_time,49,47.589587590596096,7.529541857133353,,unknown,22.1,334.69,,True,1,91,3206069,2184877,0,221,33469,0,True,True,False,True,True,False,True,2563,2563,True,,opensky_real
407fac,TOM8VC,1786673172,position_time,position_time,50,48.9357135142597,8.990638015422348,11582.0,barometric,228.4,300.90000000000003,0.0,False,0,127,3237436,2201900,12582,2284,30090,32768,True,True,True,True,True,True,True,2710,2710,True,,opensky_real
3c815e,F172,1786673173,position_time,position_time,51,48.68620364337053,9.202382374377805,,unknown,5.7,73.12,,True,1,91,3231622,2204367,0,57,7312,0,True,True,False,True,True,False,True,2110,2110,True,,opensky_real
7c8066,QFA219,1786673173,position_time,position_time,52,49.40499291539024,11.574657338775921,12184.0,barometric,244.0,293.48,0.0,False,0,127,3248371,2232006,13184,2440,29348,32768,True,True,True,True,True,True,True,2884,2884,True,,opensky_real
45ce47,SRR6382,1786673173,position_time,position_time,53,48.518490438101395,6.298042845259403,11887.0,barometric,233.70000000000002,181.64000000000001,0.0,False,0,127,3227714,2170529,12887,2337,18164,32768,True,True,True,True,True,True,True,2575,2575,True,,opensky_real
3c5434,BCS6GA,1786673173,position_time,position_time,54,45.72869199006365,8.79176826280792,3315.0,barometric,167.3,152.33,-5.850000000000023,False,0,127,3162707,2199583,4315,1673,15233,32183,True,True,True,True,True,True,True,2629,2629,True,,opensky_real
4b5d62,VIKTOR21,1786673173,position_time,position_time,55,47.45779453701843,8.561913624266055,,unknown,2.6,275.62,,True,1,91,3202998,2196905,0,26,27562,0,True,True,False,True,True,False,True,2649,2649,True,,opensky_real
4b5d54,GALA6,1786673173,position_time,position_time,56,47.45818077520866,8.549124848633966,,unknown,4.4,278.44,,True,1,91,3203007,2196756,0,44,27844,0,True,True,False,True,True,False,True,2294,2294,True,,opensky_real
4b5d6e,VIKTOR31,1786673163,position_time,position_time,57,47.44088588735721,8.562428608519696,,unknown,2.6,219.38,,True,1,91,3202604,2196911,0,26,21938,0,True,True,False,True,True,False,True,2507,2507,True,,opensky_real
4b5c39,GALA21,1786673173,position_time,position_time,58,47.45788036772737,8.549039017925026,,unknown,4.9,247.5,,True,1,91,3203000,2196755,0,49,24750,0,True,True,False,True,True,False,True,2276,2276,True,,opensky_real
4b5c1b,URSULA8,1786673172,position_time,position_time,59,47.45680748386562,8.562771931355456,,unknown,0.0,118.12,,True,1,91,3202975,2196915,0,0,11812,0,True,True,False,True,True,False,True,2300,2300,True,,opensky_real
440b61,TAY5DN,1786673173,position_time,position_time,60,49.484000082969686,5.033327349025569,10958.0,barometric,233.10000000000002,36.11,5.850000000000023,False,0,127,3250212,2155794,11958,2331,3611,33353,True,True,True,True,True,True,True,2391,2391,True,,opensky_real
48ea3a,ENT1511,1786673174,position_time,position_time,61,47.87930914862375,8.046242724953316,10973.0,barometric,229.5,225.45000000000002,0.0,False,0,127,3212820,2190897,11973,2295,22545,32768,True,True,True,True,True,True,True,2549,2549,True,,opensky_real
424cbf,MACOR,1786673173,position_time,position_time,62,46.868480889435034,11.209018518690698,9731.0,barometric,243.5,222.86,-8.129999999999995,False,0,127,3189266,2227746,10731,2435,22286,31955,True,True,True,True,True,True,True,2868,2868,True,,opensky_real
a61c53,THY6091,1786673173,position_time,position_time,63,49.394907807089766,10.77428597790859,10363.0,barometric,243.10000000000002,288.51,0.0,False,0,127,3248136,2222681,11363,2431,28851,32768,True,True,True,True,True,True,True,2742,2742,True,,opensky_real
8966d5,ETD2,1786673173,position_time,position_time,64,47.88128325492937,7.651335633119487,11278.0,barometric,258.3,104.06,0.0,False,0,127,3212866,2186296,12278,2583,10406,32768,True,True,True,True,True,True,True,2443,2443,True,,opensky_real
4d253b,EWG40C,1786673174,position_time,position_time,65,46.51541626820952,5.776707119156612,11278.0,barometric,225.60000000000002,195.75,0.3299999999999841,False,0,127,3181039,2164455,12278,2256,19575,32801,True,True,True,True,True,True,True,2886,2886,True,,opensky_real
45b534,GAV596,1786673173,position_time,position_time,66,48.7388178679509,9.424512249115025,11582.0,barometric,222.9,302.37,0.3299999999999841,False,0,127,3232848,2206955,12582,2229,30237,32801,True,True,True,True,True,True,True,2685,2685,True,,opensky_real
4d240c,EWG53L,1786673173,position_time,position_time,67,49.23191529081231,10.58751835525473,5372.0,barometric,193.8,248.68,9.100000000000023,False,0,127,3244338,2220505,6372,1938,24868,33678,True,True,True,True,True,True,True,2807,2807,True,,opensky_real
ad35c8,N950MP,1786673174,position_time,position_time,68,45.92949293362926,11.33450301516126,13716.0,barometric,255.70000000000002,118.21000000000001,-0.3299999999999841,False,0,127,3167386,2229208,14716,2557,11821,32735,True,True,True,True,True,True,True,3005,3005,True,,opensky_real
3889ff,LA2,1786673173,position_time,position_time,69,45.716418198685204,5.092636368903243,,unknown,8.200000000000001,81.56,,True,1,91,3162421,2156485,0,82,8156,0,True,True,False,True,True,False,True,2326,2326,True,,opensky_real
4b17fd,SWR7DC,1786673098,position_time,position_time,70,47.44431911571482,8.567406789638227,,unknown,0.4,244.69,,True,1,91,3202684,2196969,0,4,24469,0,True,True,False,True,True,False,True,2743,2743,True,,opensky_real
